"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Loss/Train","FCNN_Late_Fusion_ultrasound - Loss/Train__MIN","FCNN_Late_Fusion_ultrasound - Loss/Train__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Loss/Train","FCNN_Mid_Fusion_ultrasound - Loss/Train__MIN","FCNN_Mid_Fusion_ultrasound - Loss/Train__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Loss/Train","FCNN_no_ultrasound - Loss/Train__MIN","FCNN_no_ultrasound - Loss/Train__MAX","IMAV_Late_Fusion_ultrasound - _step","IMAV_Late_Fusion_ultrasound - _step__MIN","IMAV_Late_Fusion_ultrasound - _step__MAX","IMAV_Late_Fusion_ultrasound - Loss/Train","IMAV_Late_Fusion_ultrasound - Loss/Train__MIN","IMAV_Late_Fusion_ultrasound - Loss/Train__MAX","IMAV_Mid_Fusion_ultrasound - _step","IMAV_Mid_Fusion_ultrasound - _step__MIN","IMAV_Mid_Fusion_ultrasound - _step__MAX","IMAV_Mid_Fusion_ultrasound - Loss/Train","IMAV_Mid_Fusion_ultrasound - Loss/Train__MIN","IMAV_Mid_Fusion_ultrasound - Loss/Train__MAX","IMAV_no_ultrasound - _step","IMAV_no_ultrasound - _step__MIN","IMAV_no_ultrasound - _step__MAX","IMAV_no_ultrasound - Loss/Train","IMAV_no_ultrasound - Loss/Train__MIN","IMAV_no_ultrasound - Loss/Train__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Loss/Train","UNet_Late_Fusion_ultrasound - Loss/Train__MIN","UNet_Late_Fusion_ultrasound - Loss/Train__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Loss/Train","UNet_Mid_Fusion_ultrasound - Loss/Train__MIN","UNet_Mid_Fusion_ultrasound - Loss/Train__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Loss/Train","UNet_no_ultrasound - Loss/Train__MIN","UNet_no_ultrasound - Loss/Train__MAX"
"20","60","60","60","0.15200292908897003","0.15200292908897003","0.15200292908897003","60","60","60","0.14601813474049172","0.14601813474049172","0.14601813474049172","60","60","60","0.21102387985835472","0.21102387985835472","0.21102387985835472","1003.5","980","1027","1.1236457339485124","1.0714640617370605","1.1448468999429182","1003.5","980","1027","1.0133412423975632","0.996531069278717","1.0233103062795557","1003.5","980","1027","1.324656789910491","1.3043369203805923","1.3418991565704346","60","60","60","0.13559361143658558","0.13559361143658558","0.13559361143658558","60","60","60","0.14654065016657114","0.14654065016657114","0.14654065016657114","60","60","60","0.18705354072153568","0.18705354072153568","0.18705354072153568"
"21","63","63","63","0.15058235389490923","0.15058235389490923","0.15058235389490923","63","63","63","0.14523542734483877","0.14523542734483877","0.14523542734483877","63","63","63","0.2097064247354865","0.2097064247354865","0.2097064247354865","1052.5","1029","1076","1.0935136688601557","1.078586572408676","1.1709766387939453","1052.5","1029","1076","0.9924416099492027","0.9799553155899048","1.0362572073936462","1052.5","1029","1076","1.2859472398231209","1.2511310577392578","1.2929863805572193","63","63","63","0.13536836889882883","0.13536836889882883","0.13536836889882883","63","63","63","0.1463717104246219","0.1463717104246219","0.1463717104246219","63","63","63","0.18626306702693304","0.18626306702693304","0.18626306702693304"
"22","66","66","66","0.15081332934399447","0.15081332934399447","0.15081332934399447","66","66","66","0.14482784488548836","0.14482784488548836","0.14482784488548836","66","66","66","0.20870396681129932","0.20870396681129932","0.20870396681129932","1101.5","1078","1125","1.0492929441923133","1.0117714405059814","1.0603614052136738","1101.5","1078","1125","0.9322475456916717","0.9036211172739664","0.9484959308137285","1101.5","1078","1125","1.2315395765073136","1.2044376134872437","1.2477738578268822","66","66","66","0.13514675199985504","0.13514675199985504","0.13514675199985504","66","66","66","0.14618024043738842","0.14618024043738842","0.14618024043738842","66","66","66","0.18561208248138428","0.18561208248138428","0.18561208248138428"
"23","69","69","69","0.15018426440656185","0.15018426440656185","0.15018426440656185","69","69","69","0.1447525965049863","0.1447525965049863","0.1447525965049863","69","69","69","0.210178481725355","0.210178481725355","0.210178481725355","1150.5","1127","1174","0.9809405463527846","0.9508326649665833","0.992876456429561","1150.5","1127","1174","0.9008837526512478","0.8511596918106079","0.9159135023752848","1150.5","1127","1174","1.1774068431363476","1.1567917040416174","1.2391777038574219","69","69","69","0.1350114718079567","0.1350114718079567","0.1350114718079567","69","69","69","0.14593411268045506","0.14593411268045506","0.14593411268045506","69","69","69","0.1844750645880898","0.1844750645880898","0.1844750645880898"
"24","72","72","72","0.15193259653945765","0.15193259653945765","0.15193259653945765","72","72","72","0.1438830035428206","0.1438830035428206","0.1438830035428206","72","72","72","0.20901882834732533","0.20901882834732533","0.20901882834732533","1199.5","1176","1223","0.9541970229930081","0.9366865243230548","0.9735140204429626","1199.5","1176","1223","0.8828015049649182","0.8474382162094116","0.8988364338874817","1199.5","1176","1223","1.1521742015748868","1.1420782664242912","1.1783039569854736","72","72","72","0.13469039152065912","0.13469039152065912","0.13469039152065912","72","72","72","0.14558159156392017","0.14558159156392017","0.14558159156392017","72","72","72","0.18357926110426584","0.18357926110426584","0.18357926110426584"
"25","75","75","75","0.15089482317368189","0.15089482317368189","0.15089482317368189","75","75","75","0.1444649544234077","0.1444649544234077","0.1444649544234077","75","75","75","0.20969074685126543","0.20969074685126543","0.20969074685126543","1248.5","1225","1272","0.9308497408883151","0.900679349899292","0.9390239963928858","1248.5","1225","1272","0.8416355916596449","0.8028179407119751","0.8516995072364807","1248.5","1225","1272","1.0990924482440916","1.0440773566563923","1.129167231420676","75","75","75","0.13463184951494137","0.13463184951494137","0.13463184951494137","75","75","75","0.14570697086552778","0.14570697086552778","0.14570697086552778","75","75","75","0.18300125189125538","0.18300125189125538","0.18300125189125538"
"26","78","78","78","0.14991831655303636","0.14991831655303636","0.14991831655303636","78","78","78","0.14362429548054934","0.14362429548054934","0.14362429548054934","78","78","78","0.20765159806857506","0.20765159806857506","0.20765159806857506","1297.5","1274","1321","0.8833293779693294","0.8124967813491821","0.8936467543244362","1297.5","1274","1321","0.7974829126985998","0.7700918614864349","0.817332877467076","1297.5","1274","1321","1.0763473396084886","1.0424356659253438","1.1050287733475368","78","78","78","0.13441167523463568","0.13441167523463568","0.13441167523463568","78","78","78","0.14484295869867006","0.14484295869867006","0.14484295869867006","78","78","78","0.18217580392956734","0.18217580392956734","0.18217580392956734"
"27","81","81","81","0.149707089488705","0.149707089488705","0.149707089488705","81","81","81","0.1438939506188035","0.1438939506188035","0.1438939506188035","81","81","81","0.20716665033251047","0.20716665033251047","0.20716665033251047","1346.5","1323","1370","0.8583715044163044","0.7687913179397583","0.8736506480237712","1346.5","1323","1370","0.7844180639199018","0.7661559283733368","0.8248427510261536","1346.5","1323","1370","1.0519349085114424","1.036304271221161","1.0902239084243774","81","81","81","0.13409834075719118","0.13409834075719118","0.13409834075719118","81","81","81","0.14476128419240317","0.14476128419240317","0.14476128419240317","81","81","81","0.18106027009586492","0.18106027009586492","0.18106027009586492"
"28","84","84","84","0.14917075292517742","0.14917075292517742","0.14917075292517742","84","84","84","0.14414357331891856","0.14414357331891856","0.14414357331891856","84","84","84","0.20677633055796227","0.20677633055796227","0.20677633055796227","1395.5","1372","1419","0.8388290334493447","0.8019931614398956","0.850760810650312","1395.5","1372","1419","0.7433273931315315","0.690700501203537","0.7516230902773269","","","","","","","84","84","84","0.13403824251145124","0.13403824251145124","0.13403824251145124","84","84","84","0.14447879946480194","0.14447879946480194","0.14447879946480194","84","84","84","0.18051787465810776","0.18051787465810776","0.18051787465810776"
"29","87","87","87","0.14995419575522342","0.14995419575522342","0.14995419575522342","87","87","87","0.1429804548000296","0.1429804548000296","0.1429804548000296","87","87","87","0.20624767212818065","0.20624767212818065","0.20624767212818065","1444.5","1421","1468","0.7687289915584291","0.7168402671813965","0.7873114049434662","1444.5","1421","1468","0.6999728076453317","0.6781804084777832","0.7194785824636134","","","","","","","87","87","87","0.13411659530053535","0.13411659530053535","0.13411659530053535","87","87","87","0.14361624885350466","0.14361624885350466","0.14361624885350466","87","87","87","0.1798997869094213","0.1798997869094213","0.1798997869094213"
