"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - Pearson/Val","FCNN_Late_Fusion_ultrasound - Pearson/Val__MIN","FCNN_Late_Fusion_ultrasound - Pearson/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - Pearson/Val","FCNN_Mid_Fusion_ultrasound - Pearson/Val__MIN","FCNN_Mid_Fusion_ultrasound - Pearson/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - Pearson/Val","FCNN_no_ultrasound - Pearson/Val__MIN","FCNN_no_ultrasound - Pearson/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - Pearson/Val","UNet_Late_Fusion_ultrasound - Pearson/Val__MIN","UNet_Late_Fusion_ultrasound - Pearson/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - Pearson/Val","UNet_Mid_Fusion_ultrasound - Pearson/Val__MIN","UNet_Mid_Fusion_ultrasound - Pearson/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - Pearson/Val","UNet_no_ultrasound - Pearson/Val__MIN","UNet_no_ultrasound - Pearson/Val__MAX"
"24","74","74","74","0.6150974857950134","0.6150974857950134","0.6150974857950134","74","74","74","0.6377608363999505","0.6377608363999505","0.6377608363999505","74","74","74","0.42212030834191083","0.42212030834191083","0.42212030834191083","74","74","74","0.7065025538603804","0.7065025538603804","0.7065025538603804","74","74","74","0.6322726592389913","0.6322726592389913","0.6322726592389913","74","74","74","0.5877114140056114","0.5877114140056114","0.5877114140056114"
"25","77","77","77","0.6154959937272849","0.6154959937272849","0.6154959937272849","77","77","77","0.6399994325232806","0.6399994325232806","0.6399994325232806","77","77","77","0.41727105726904923","0.41727105726904923","0.41727105726904923","77","77","77","0.7144499242483338","0.7144499242483338","0.7144499242483338","77","77","77","0.6327996454656183","0.6327996454656183","0.6327996454656183","77","77","77","0.5889834343447764","0.5889834343447764","0.5889834343447764"
"26","80","80","80","0.6188071596065245","0.6188071596065245","0.6188071596065245","80","80","80","0.6419208866509639","0.6419208866509639","0.6419208866509639","80","80","80","0.441055269366845","0.441055269366845","0.441055269366845","80","80","80","0.7000904693337061","0.7000904693337061","0.7000904693337061","80","80","80","0.6357929213918151","0.6357929213918151","0.6357929213918151","80","80","80","0.594834945213777","0.594834945213777","0.594834945213777"
"27","83","83","83","0.6212211694875982","0.6212211694875982","0.6212211694875982","83","83","83","0.6405677592157929","0.6405677592157929","0.6405677592157929","83","83","83","0.3937579093464108","0.3937579093464108","0.3937579093464108","83","83","83","0.7154435711158934","0.7154435711158934","0.7154435711158934","83","83","83","0.6380883594138325","0.6380883594138325","0.6380883594138325","83","83","83","0.5887200377797096","0.5887200377797096","0.5887200377797096"
"28","86","86","86","0.6203087033086917","0.6203087033086917","0.6203087033086917","86","86","86","0.6411784071668029","0.6411784071668029","0.6411784071668029","86","86","86","0.4435085688403445","0.4435085688403445","0.4435085688403445","86","86","86","0.7046287627409776","0.7046287627409776","0.7046287627409776","86","86","86","0.6374749928385475","0.6374749928385475","0.6374749928385475","86","86","86","0.5998564306588907","0.5998564306588907","0.5998564306588907"
"29","89","89","89","0.620529873747626","0.620529873747626","0.620529873747626","89","89","89","0.6383265887666346","0.6383265887666346","0.6383265887666346","89","89","89","0.44793150137774607","0.44793150137774607","0.44793150137774607","89","89","89","0.7026766493927239","0.7026766493927239","0.7026766493927239","89","89","89","0.6447840244545241","0.6447840244545241","0.6447840244545241","89","89","89","0.6099131367726719","0.6099131367726719","0.6099131367726719"
"30","92","92","92","0.6203084556577634","0.6203084556577634","0.6203084556577634","92","92","92","0.6413973022687695","0.6413973022687695","0.6413973022687695","92","92","92","0.4373470050059164","0.4373470050059164","0.4373470050059164","92","92","92","0.7124394061779167","0.7124394061779167","0.7124394061779167","92","92","92","0.6472568164889073","0.6472568164889073","0.6472568164889073","92","92","92","0.6040803861696564","0.6040803861696564","0.6040803861696564"
"31","95","95","95","0.6149214370410901","0.6149214370410901","0.6149214370410901","95","95","95","0.6438394288044953","0.6438394288044953","0.6438394288044953","95","95","95","0.44671261691550995","0.44671261691550995","0.44671261691550995","95","95","95","0.7059129767461159","0.7059129767461159","0.7059129767461159","95","95","95","0.6503701547612196","0.6503701547612196","0.6503701547612196","95","95","95","0.6126407330766485","0.6126407330766485","0.6126407330766485"
"32","98","98","98","0.6124160685978961","0.6124160685978961","0.6124160685978961","98","98","98","0.6441651705945303","0.6441651705945303","0.6441651705945303","98","98","98","0.4515011783530072","0.4515011783530072","0.4515011783530072","98","98","98","0.7212472890775339","0.7212472890775339","0.7212472890775339","98","98","98","0.6529512641902506","0.6529512641902506","0.6529512641902506","98","98","98","0.6023046150893608","0.6023046150893608","0.6023046150893608"
"33","101","101","101","0.6166708812252384","0.6166708812252384","0.6166708812252384","101","101","101","0.6416680168940894","0.6416680168940894","0.6416680168940894","101","101","101","0.45115111670876556","0.45115111670876556","0.45115111670876556","101","101","101","0.7150968339599881","0.7150968339599881","0.7150968339599881","101","101","101","0.6564675582595715","0.6564675582595715","0.6564675582595715","101","101","101","0.6170303391409669","0.6170303391409669","0.6170303391409669"
"34","104","104","104","0.6202053067384901","0.6202053067384901","0.6202053067384901","104","104","104","0.6448778729318335","0.6448778729318335","0.6448778729318335","104","104","104","0.4494315653559121","0.4494315653559121","0.4494315653559121","104","104","104","0.7117306986286662","0.7117306986286662","0.7117306986286662","104","104","104","0.659751734233713","0.659751734233713","0.659751734233713","104","104","104","0.6172201550848764","0.6172201550848764","0.6172201550848764"
"35","107","107","107","0.6178101070973874","0.6178101070973874","0.6178101070973874","107","107","107","0.6472603421085529","0.6472603421085529","0.6472603421085529","107","107","107","0.44613380276885006","0.44613380276885006","0.44613380276885006","107","107","107","0.709071834948116","0.709071834948116","0.709071834948116","107","107","107","0.6633021139740802","0.6633021139740802","0.6633021139740802","107","107","107","0.6216843705594385","0.6216843705594385","0.6216843705594385"
"36","110","110","110","0.6204289359016406","0.6204289359016406","0.6204289359016406","110","110","110","0.6454603791258738","0.6454603791258738","0.6454603791258738","110","110","110","0.37584787524516683","0.37584787524516683","0.37584787524516683","110","110","110","0.7185686365286852","0.7185686365286852","0.7185686365286852","110","110","110","0.6604709221659489","0.6604709221659489","0.6604709221659489","110","110","110","0.609064804006752","0.609064804006752","0.609064804006752"
"37","113","113","113","0.6206241743315845","0.6206241743315845","0.6206241743315845","113","113","113","0.644815888328708","0.644815888328708","0.644815888328708","113","113","113","0.31027386754762804","0.31027386754762804","0.31027386754762804","113","113","113","0.7235506103305545","0.7235506103305545","0.7235506103305545","113","113","113","0.6618131777534764","0.6618131777534764","0.6618131777534764","113","113","113","0.6218042942285449","0.6218042942285449","0.6218042942285449"
"38","116","116","116","0.6189305735281054","0.6189305735281054","0.6189305735281054","116","116","116","0.6498775369108517","0.6498775369108517","0.6498775369108517","116","116","116","0.37477191097225904","0.37477191097225904","0.37477191097225904","116","116","116","0.7130030077283993","0.7130030077283993","0.7130030077283993","116","116","116","0.6711711677290136","0.6711711677290136","0.6711711677290136","116","116","116","0.6189584209295456","0.6189584209295456","0.6189584209295456"
"39","","","","","","","119","119","119","0.6473917077009756","0.6473917077009756","0.6473917077009756","119","119","119","0.43643620781778036","0.43643620781778036","0.43643620781778036","119","119","119","0.7133657439819627","0.7133657439819627","0.7133657439819627","119","119","119","0.6614206453254805","0.6614206453254805","0.6614206453254805","119","119","119","0.613613841869102","0.613613841869102","0.613613841869102"
"40","","","","","","","122","122","122","0.646852436928076","0.646852436928076","0.646852436928076","122","122","122","0.4546377965050849","0.4546377965050849","0.4546377965050849","122","122","122","0.7157202360620009","0.7157202360620009","0.7157202360620009","122","122","122","0.6751054710142252","0.6751054710142252","0.6751054710142252","122","122","122","0.6263424394845304","0.6263424394845304","0.6263424394845304"
"41","","","","","","","125","125","125","0.6506990363463667","0.6506990363463667","0.6506990363463667","125","125","125","0.4188782984500684","0.4188782984500684","0.4188782984500684","125","125","125","0.7219020095579531","0.7219020095579531","0.7219020095579531","125","125","125","0.6743378843334995","0.6743378843334995","0.6743378843334995","125","125","125","0.6281210415109936","0.6281210415109936","0.6281210415109936"
"42","","","","","","","128","128","128","0.6430489966138175","0.6430489966138175","0.6430489966138175","128","128","128","0.45290313534234883","0.45290313534234883","0.45290313534234883","128","128","128","0.7271872648813242","0.7271872648813242","0.7271872648813242","128","128","128","0.6691704501187273","0.6691704501187273","0.6691704501187273","128","128","128","0.6276337121014103","0.6276337121014103","0.6276337121014103"
"43","","","","","","","131","131","131","0.6480919945624508","0.6480919945624508","0.6480919945624508","","","","","","","131","131","131","0.7192446896291933","0.7192446896291933","0.7192446896291933","131","131","131","0.6769710497283535","0.6769710497283535","0.6769710497283535","131","131","131","0.6245789697390722","0.6245789697390722","0.6245789697390722"
"44","","","","","","","134","134","134","0.6498275920335113","0.6498275920335113","0.6498275920335113","","","","","","","134","134","134","0.7220815815792938","0.7220815815792938","0.7220815815792938","134","134","134","0.6726933028050108","0.6726933028050108","0.6726933028050108","134","134","134","0.6349904504625735","0.6349904504625735","0.6349904504625735"
"45","","","","","","","137","137","137","0.6527936224005698","0.6527936224005698","0.6527936224005698","","","","","","","137","137","137","0.7226852714284274","0.7226852714284274","0.7226852714284274","137","137","137","0.6913283078244589","0.6913283078244589","0.6913283078244589","137","137","137","0.630180193171043","0.630180193171043","0.630180193171043"
"46","","","","","","","140","140","140","0.6539064693857976","0.6539064693857976","0.6539064693857976","","","","","","","140","140","140","0.7212213469467941","0.7212213469467941","0.7212213469467941","140","140","140","0.6925390812598626","0.6925390812598626","0.6925390812598626","140","140","140","0.6341130897972025","0.6341130897972025","0.6341130897972025"
"47","","","","","","","143","143","143","0.6530560643470342","0.6530560643470342","0.6530560643470342","","","","","","","143","143","143","0.7204025620399395","0.7204025620399395","0.7204025620399395","143","143","143","0.6908972890291636","0.6908972890291636","0.6908972890291636","143","143","143","0.6331123203458103","0.6331123203458103","0.6331123203458103"
"48","","","","","","","146","146","146","0.6553838845273694","0.6553838845273694","0.6553838845273694","","","","","","","146","146","146","0.7136894458569278","0.7136894458569278","0.7136894458569278","146","146","146","0.6911630162429215","0.6911630162429215","0.6911630162429215","146","146","146","0.6301406707776244","0.6301406707776244","0.6301406707776244"
"49","","","","","","","149","149","149","0.6490842541846681","0.6490842541846681","0.6490842541846681","","","","","","","149","149","149","0.720562052221708","0.720562052221708","0.720562052221708","149","149","149","0.7041881646027552","0.7041881646027552","0.7041881646027552","149","149","149","0.6386661845775875","0.6386661845775875","0.6386661845775875"
"50","","","","","","","152","152","152","0.6509832322892525","0.6509832322892525","0.6509832322892525","","","","","","","152","152","152","0.706886738051509","0.706886738051509","0.706886738051509","152","152","152","0.7052675448333429","0.7052675448333429","0.7052675448333429","152","152","152","0.6334403273009485","0.6334403273009485","0.6334403273009485"
"51","","","","","","","155","155","155","0.6543822840923705","0.6543822840923705","0.6543822840923705","","","","","","","155","155","155","0.7316237351104042","0.7316237351104042","0.7316237351104042","155","155","155","0.7002799719488766","0.7002799719488766","0.7002799719488766","155","155","155","0.6392880495188653","0.6392880495188653","0.6392880495188653"
"52","","","","","","","158","158","158","0.6547788259325321","0.6547788259325321","0.6547788259325321","","","","","","","158","158","158","0.7177843261198663","0.7177843261198663","0.7177843261198663","158","158","158","0.7001149898711447","0.7001149898711447","0.7001149898711447","158","158","158","0.6352248381539207","0.6352248381539207","0.6352248381539207"
"53","","","","","","","161","161","161","0.653613513270334","0.653613513270334","0.653613513270334","","","","","","","161","161","161","0.7282758732262153","0.7282758732262153","0.7282758732262153","161","161","161","0.6966900100823524","0.6966900100823524","0.6966900100823524","161","161","161","0.6378752500610698","0.6378752500610698","0.6378752500610698"
"54","","","","","","","164","164","164","0.6523077574617064","0.6523077574617064","0.6523077574617064","","","","","","","164","164","164","0.7247219360682826","0.7247219360682826","0.7247219360682826","164","164","164","0.7067565734076022","0.7067565734076022","0.7067565734076022","164","164","164","0.6395120687484822","0.6395120687484822","0.6395120687484822"
"55","","","","","","","167","167","167","0.6518762018859765","0.6518762018859765","0.6518762018859765","","","","","","","167","167","167","0.7346161965736172","0.7346161965736172","0.7346161965736172","167","167","167","0.7021772177997616","0.7021772177997616","0.7021772177997616","167","167","167","0.6428327238887656","0.6428327238887656","0.6428327238887656"
"56","","","","","","","170","170","170","0.6575833364496391","0.6575833364496391","0.6575833364496391","","","","","","","170","170","170","0.7240497358743183","0.7240497358743183","0.7240497358743183","170","170","170","0.722871633850435","0.722871633850435","0.722871633850435","170","170","170","0.6388221049481356","0.6388221049481356","0.6388221049481356"
"57","","","","","","","173","173","173","0.6606025090391371","0.6606025090391371","0.6606025090391371","","","","","","","173","173","173","0.725795771911236","0.725795771911236","0.725795771911236","173","173","173","0.721953634283602","0.721953634283602","0.721953634283602","173","173","173","0.6454804325348089","0.6454804325348089","0.6454804325348089"
"58","","","","","","","176","176","176","0.6536699845456522","0.6536699845456522","0.6536699845456522","","","","","","","176","176","176","0.7162139553079813","0.7162139553079813","0.7162139553079813","176","176","176","0.7220023145406855","0.7220023145406855","0.7220023145406855","176","176","176","0.6321299544383846","0.6321299544383846","0.6321299544383846"
"59","","","","","","","179","179","179","0.6624513827665433","0.6624513827665433","0.6624513827665433","","","","","","","179","179","179","0.7267105690542216","0.7267105690542216","0.7267105690542216","179","179","179","0.7088423653859462","0.7088423653859462","0.7088423653859462","179","179","179","0.6346616182802602","0.6346616182802602","0.6346616182802602"
"60","","","","","","","182","182","182","0.6605320027962817","0.6605320027962817","0.6605320027962817","","","","","","","182","182","182","0.7296200303041329","0.7296200303041329","0.7296200303041329","182","182","182","0.7106042295302682","0.7106042295302682","0.7106042295302682","182","182","182","0.6252882690922847","0.6252882690922847","0.6252882690922847"
