"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - R2/Val","FCNN_Late_Fusion_ultrasound - R2/Val__MIN","FCNN_Late_Fusion_ultrasound - R2/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - R2/Val","FCNN_Mid_Fusion_ultrasound - R2/Val__MIN","FCNN_Mid_Fusion_ultrasound - R2/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - R2/Val","FCNN_no_ultrasound - R2/Val__MIN","FCNN_no_ultrasound - R2/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - R2/Val","UNet_Late_Fusion_ultrasound - R2/Val__MIN","UNet_Late_Fusion_ultrasound - R2/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - R2/Val","UNet_Mid_Fusion_ultrasound - R2/Val__MIN","UNet_Mid_Fusion_ultrasound - R2/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - R2/Val","UNet_no_ultrasound - R2/Val__MIN","UNet_no_ultrasound - R2/Val__MAX"
"25","77","77","77","0.2976081371307373","0.2976081371307373","0.2976081371307373","77","77","77","0.3239436149597168","0.3239436149597168","0.3239436149597168","77","77","77","0.162641704082489","0.162641704082489","0.162641704082489","77","77","77","0.4819772243499756","0.4819772243499756","0.4819772243499756","77","77","77","0.33251410722732544","0.33251410722732544","0.33251410722732544","77","77","77","0.2930048704147339","0.2930048704147339","0.2930048704147339"
"26","80","80","80","0.301996111869812","0.301996111869812","0.301996111869812","80","80","80","0.3301353454589844","0.3301353454589844","0.3301353454589844","80","80","80","0.17762959003448486","0.17762959003448486","0.17762959003448486","80","80","80","0.46450650691986084","0.46450650691986084","0.46450650691986084","80","80","80","0.33878177404403687","0.33878177404403687","0.33878177404403687","80","80","80","0.3413890600204468","0.3413890600204468","0.3413890600204468"
"27","83","83","83","0.30451351404190063","0.30451351404190063","0.30451351404190063","83","83","83","0.35236626863479614","0.35236626863479614","0.35236626863479614","83","83","83","0.13213449716567993","0.13213449716567993","0.13213449716567993","83","83","83","0.4850870370864868","0.4850870370864868","0.4850870370864868","83","83","83","0.35829752683639526","0.35829752683639526","0.35829752683639526","83","83","83","0.3304920196533203","0.3304920196533203","0.3304920196533203"
"28","86","86","86","0.3041859269142151","0.3041859269142151","0.3041859269142151","86","86","86","0.33915239572525024","0.33915239572525024","0.33915239572525024","86","86","86","0.18272125720977783","0.18272125720977783","0.18272125720977783","86","86","86","0.47059106826782227","0.47059106826782227","0.47059106826782227","86","86","86","0.3268813490867615","0.3268813490867615","0.3268813490867615","86","86","86","0.3344682455062866","0.3344682455062866","0.3344682455062866"
"29","89","89","89","0.31788527965545654","0.31788527965545654","0.31788527965545654","89","89","89","0.3363268971443176","0.3363268971443176","0.3363268971443176","89","89","89","0.18417048454284668","0.18417048454284668","0.18417048454284668","89","89","89","0.4645949602127075","0.4645949602127075","0.4645949602127075","89","89","89","0.384263277053833","0.384263277053833","0.384263277053833","89","89","89","0.35998350381851196","0.35998350381851196","0.35998350381851196"
"30","92","92","92","0.3078431487083435","0.3078431487083435","0.3078431487083435","92","92","92","0.34560322761535645","0.34560322761535645","0.34560322761535645","92","92","92","0.14931714534759521","0.14931714534759521","0.14931714534759521","92","92","92","0.4831887483596802","0.4831887483596802","0.4831887483596802","92","92","92","0.36203670501708984","0.36203670501708984","0.36203670501708984","92","92","92","0.3560662865638733","0.3560662865638733","0.3560662865638733"
"31","95","95","95","0.30055713653564453","0.30055713653564453","0.30055713653564453","95","95","95","0.3594430685043335","0.3594430685043335","0.3594430685043335","95","95","95","0.18358063697814941","0.18358063697814941","0.18358063697814941","95","95","95","0.4678589701652527","0.4678589701652527","0.4678589701652527","95","95","95","0.36267590522766113","0.36267590522766113","0.36267590522766113","95","95","95","0.36657261848449707","0.36657261848449707","0.36657261848449707"
"32","98","98","98","0.2706639766693115","0.2706639766693115","0.2706639766693115","98","98","98","0.3476226329803467","0.3476226329803467","0.3476226329803467","98","98","98","0.1848650574684143","0.1848650574684143","0.1848650574684143","98","98","98","0.48624271154403687","0.48624271154403687","0.48624271154403687","98","98","98","0.3759438991546631","0.3759438991546631","0.3759438991546631","98","98","98","0.33549797534942627","0.33549797534942627","0.33549797534942627"
"33","101","101","101","0.295182466506958","0.295182466506958","0.295182466506958","101","101","101","0.3497447967529297","0.3497447967529297","0.3497447967529297","101","101","101","0.18431878089904785","0.18431878089904785","0.18431878089904785","101","101","101","0.48777544498443604","0.48777544498443604","0.48777544498443604","101","101","101","0.40559113025665283","0.40559113025665283","0.40559113025665283","101","101","101","0.3514389991760254","0.3514389991760254","0.3514389991760254"
"34","104","104","104","0.3197871446609497","0.3197871446609497","0.3197871446609497","104","104","104","0.3439409136772156","0.3439409136772156","0.3439409136772156","104","104","104","0.18322277069091797","0.18322277069091797","0.18322277069091797","104","104","104","0.4819548726081848","0.4819548726081848","0.4819548726081848","104","104","104","0.39371633529663086","0.39371633529663086","0.39371633529663086","104","104","104","0.3666725158691406","0.3666725158691406","0.3666725158691406"
"35","107","107","107","0.30694150924682617","0.30694150924682617","0.30694150924682617","107","107","107","0.35163044929504395","0.35163044929504395","0.35163044929504395","107","107","107","0.1691131591796875","0.1691131591796875","0.1691131591796875","107","107","107","0.478104829788208","0.478104829788208","0.478104829788208","107","107","107","0.4067113995552063","0.4067113995552063","0.4067113995552063","107","107","107","0.37711745500564575","0.37711745500564575","0.37711745500564575"
"36","110","110","110","0.273887574672699","0.273887574672699","0.273887574672699","110","110","110","0.33300209045410156","0.33300209045410156","0.33300209045410156","110","110","110","0.08284097909927368","0.08284097909927368","0.08284097909927368","110","110","110","0.4858471155166626","0.4858471155166626","0.4858471155166626","110","110","110","0.4055953025817871","0.4055953025817871","0.4055953025817871","110","110","110","0.3619680404663086","0.3619680404663086","0.3619680404663086"
"37","113","113","113","0.3095110058784485","0.3095110058784485","0.3095110058784485","113","113","113","0.361261248588562","0.361261248588562","0.361261248588562","113","113","113","-0.17204582691192627","-0.17204582691192627","-0.17204582691192627","113","113","113","0.49919790029525757","0.49919790029525757","0.49919790029525757","113","113","113","0.41579294204711914","0.41579294204711914","0.41579294204711914","113","113","113","0.38247495889663696","0.38247495889663696","0.38247495889663696"
